"id","code","discount","expiry_date","description"
"1","EXTRA8199","14.79","2025-06-13 00:44:43","Promo menarik untuk anda"
"2","HOT3028","48.59","2025-04-12 15:46:26","Promo menarik untuk anda"
"3","NEW2028","36.06","2025-08-07 19:52:46","Promo menarik untuk anda"
"4","FLASH4443","26.99","2025-07-18 04:05:26","Promo menarik untuk anda"
"5","EXTRA9399","46.64","2025-02-25 11:23:59","Promo menarik untuk anda"
"6","ULTRA2672","23.27","2025-07-01 05:00:02","Promo menarik untuk anda"
"7","FLASH1617","22.01","2025-03-17 07:16:23","Promo menarik untuk anda"
"8","EXTRA4314","19.17","2024-10-14 01:27:40","Promo menarik untuk anda"
"9","NEW5267","30.31","2025-03-22 00:10:00","Promo menarik untuk anda"
"10","BONUS1616","20.42","2024-11-19 04:51:33","Promo menarik untuk anda"
"11","WELCOME8395","33.12","2024-09-11 06:28:58","Promo menarik untuk anda"
"12","BONUS5486","48.38","2024-09-23 03:05:28","Promo menarik untuk anda"
"13","BONUS4406","7.55","2025-04-23 09:47:51","Promo menarik untuk anda"
"14","NEW3153","19.3","2025-07-26 14:32:48","Promo menarik untuk anda"
"15","AUTUMN7891","45.97","2025-04-25 01:49:34","Promo menarik untuk anda"
"16","DISC1592","19.04","2024-11-21 15:46:27","Promo menarik untuk anda"
"17","AUTUMN7545","25.33","2025-06-05 16:20:32","Promo menarik untuk anda"
"18","SPRING9452","19.31","2025-05-10 17:52:20","Promo menarik untuk anda"
"19","FREESHIP6269","30.66","2024-09-22 15:12:50","Promo menarik untuk anda"
"20","BONUS8587","12.68","2025-06-09 09:37:57","Promo menarik untuk anda"
"21","BONUS2442","26.33","2025-05-09 15:36:12","Promo menarik untuk anda"
"22","WELCOME5977","49.4","2025-04-30 20:35:39","Promo menarik untuk anda"
"23","HOT4258","24.98","2025-04-20 01:47:12","Promo menarik untuk anda"
"24","SUPER3743","28.86","2025-01-24 17:25:30","Promo menarik untuk anda"
"25","BONUS3251","5.73","2025-04-17 03:42:47","Promo menarik untuk anda"
"26","WINTER6725","9.25","2025-02-11 05:23:45","Promo menarik untuk anda"
"27","EXTRA9307","22.69","2024-12-26 16:08:20","Promo menarik untuk anda"
"28","EXTRA4877","44.62","2025-02-27 06:36:27","Promo menarik untuk anda"
"29","EXTRA3993","12.84","2024-09-28 06:40:58","Promo menarik untuk anda"
"30","AUTUMN1582","35.4","2024-11-24 20:57:24","Promo menarik untuk anda"
"31","FLASH3110","7.88","2024-10-25 18:20:06","Promo menarik untuk anda"
"32","MEGA1048","12.31","2025-04-17 02:39:32","Promo menarik untuk anda"
"33","SUPER3755","17.2","2024-11-09 23:29:49","Promo menarik untuk anda"
"34","SALE9993","25.82","2025-01-16 22:01:07","Promo menarik untuk anda"
"35","SUMMER9967","9.1","2025-03-21 21:14:13","Promo menarik untuk anda"
"36","LUCKY4022","31.83","2024-10-23 23:08:22","Promo menarik untuk anda"
"37","EXTRA6940","6.74","2025-03-08 10:08:15","Promo menarik untuk anda"
"38","VIP9562","44.22","2025-01-13 17:11:55","Promo menarik untuk anda"
"39","ULTRA8445","7.41","2024-12-28 07:27:14","Promo menarik untuk anda"
"40","DISC9786","31.3","2025-07-17 16:31:25","Promo menarik untuk anda"
"41","FREESHIP6860","6.44","2025-01-29 16:29:28","Promo menarik untuk anda"
"42","WELCOME8766","30.77","2025-01-10 22:22:43","Promo menarik untuk anda"
"43","SUMMER6625","9.18","2025-02-08 11:38:28","Promo menarik untuk anda"
"44","DISC1204","44.87","2025-05-02 06:16:09","Promo menarik untuk anda"
"45","SPRING3528","42.84","2024-11-17 04:19:31","Promo menarik untuk anda"
"46","CRAZY3925","23.55","2025-02-25 11:20:30","Promo menarik untuk anda"
"47","WELCOME5317","17.11","2025-08-03 11:20:35","Promo menarik untuk anda"
"48","NEW8514","19.66","2025-04-29 00:36:02","Promo menarik untuk anda"
"49","FREESHIP8380","29.84","2024-10-06 22:04:16","Promo menarik untuk anda"
"50","BONUS6571","24.56","2025-04-09 03:59:12","Promo menarik untuk anda"
"51","SALE1433","37.52","2024-12-29 10:50:28","Promo menarik untuk anda"
