"id","user_id","order_date","total_price","coupon_id","status","payment_method","payment_status"
"1","746","2025-06-28 22:00:06","2845864","72","awaiting_shipment","bank_mandiri","partial"
"2","627","2025-03-12 00:39:55","3491402","735","pending","debit_card","overpaid"
"3","367","2025-05-09 09:50:31","2283154","287","shipped","transfer","overpaid"
"4","722","2025-07-21 10:41:48","9148198","420","processing","cash","failed"
"5","821","2025-07-20 22:33:05","8213184","743","delivered","bank_bca","pending"
"6","159","2025-07-23 04:33:05","2373940","13","cancelled","bank_bni","refunded"
"7","422","2025-05-27 00:34:02","7408565","551","on_hold","cash","chargeback"
"8","463","2025-06-25 13:11:56","6919480","29","cancelled","ovo","refunded"
"9","971","2025-03-02 22:07:14","5155887","757","shipped","credit_card","overpaid"
"10","873","2025-02-11 12:48:04","8465714","795","returned","credit_card","failed"
"11","839","2025-02-23 09:08:30","6238410","172","refunded","bank_mandiri","chargeback"
"12","150","2025-06-15 05:04:17","3080942","891","awaiting_payment","gopay","refunded"
"13","411","2025-03-19 16:45:52","224591","347","on_hold","bank_bni","refunded"
"14","118","2025-06-18 17:32:29","3897169","980","refunded","bank_bca","partial"
"15","208","2025-07-26 06:45:05","5369767","969","on_hold","dana","chargeback"
"16","304","2025-04-18 12:56:51","7831961","455","shipped","dana","failed"
"17","417","2025-04-27 01:48:35","6388326","231","refunded","e-wallet","pending"
"18","297","2025-03-02 01:09:07","5930391","104","on_hold","ovo","paid"
"19","240","2025-03-11 20:27:04","2145298","157","shipped","gopay","chargeback"
"20","654","2025-02-27 19:51:28","648381","681","refunded","gopay","paid"
"21","246","2025-06-18 11:31:00","2356291","407","awaiting_payment","gopay","refunded"
"22","361","2025-07-13 20:18:53","6060230","269","shipped","bank_mandiri","paid"
"23","97","2025-02-13 01:57:39","9631247","51","on_hold","bank_bni","overpaid"
"24","160","2025-03-22 11:10:51","5815421","890","processing","transfer","pending"
"25","221","2025-03-30 21:51:03","3902268","504","refunded","bank_bca","overpaid"
"26","227","2025-07-15 17:15:20","8344733","271","refunded","transfer","failed"
"27","753","2025-07-15 19:28:30","6354300","959","returned","bank_bca","chargeback"
"28","733","2025-04-21 18:02:20","5449322","282","returned","dana","failed"
"29","350","2025-07-25 00:45:18","9233585","381","on_hold","cash","pending"
"30","989","2025-03-04 19:13:36","7531849","468","returned","dana","refunded"
"31","149","2025-07-21 09:24:02","7346935","131","refunded","debit_card","paid"
"32","881","2025-05-07 03:45:10","4459444","769","cancelled","bank_mandiri","failed"
"33","762","2025-05-18 23:26:48","1944385","322","returned","debit_card","failed"
"34","422","2025-07-09 07:25:24","3375782","640","processing","gopay","refunded"
"35","52","2025-07-10 00:47:24","231322","848","processing","dana","pending"
"36","426","2025-03-26 12:07:35","9672005","909","on_hold","ovo","failed"
"37","784","2025-03-17 01:13:43","8383984","293","cancelled","debit_card","chargeback"
"38","932","2025-06-14 13:16:39","5300967","648","awaiting_payment","credit_card","chargeback"
"39","360","2025-06-16 23:47:24","1362899","693","pending","bank_mandiri","pending"
"40","299","2025-07-19 19:37:43","4399736","714","shipped","gopay","refunded"
"41","548","2025-03-24 12:58:18","1478033","367","refunded","paypal","failed"
"42","700","2025-03-25 18:55:01","4066281","390","delivered","paypal","failed"
"43","294","2025-07-22 06:17:19","2872186","31","processing","cash","pending"
"44","865","2025-05-10 01:43:02","5506208","48","returned","bank_bca","partial"
"45","410","2025-05-19 19:35:00","2638366","281","shipped","transfer","partial"
"46","705","2025-03-31 20:48:39","2228194","596","awaiting_payment","cash","overpaid"
"47","156","2025-04-30 19:21:37","1897323","973","delivered","ovo","failed"
"48","322","2025-05-03 10:21:21","4655592","621","cancelled","cash","refunded"
"49","433","2025-03-14 21:26:22","9760735","208","delivered","cash","failed"
"50","662","2025-02-21 02:13:33","9752741","582","processing","bank_mandiri","pending"
"51","902","2025-05-27 14:22:04","8838915","137","on_hold","bank_bni","chargeback"
"52","315","2025-03-03 20:56:07","166493","220","awaiting_payment","transfer","overpaid"
"53","639","2025-05-17 14:32:20","4091870","219","refunded","cash","paid"
"54","497","2025-03-01 19:42:51","1730953","508","on_hold","bank_mandiri","partial"
"55","734","2025-03-08 19:08:32","1007336","33","on_hold","gopay","overpaid"
"56","164","2025-02-23 10:29:16","6336346","385","on_hold","bank_bni","failed"
"57","275","2025-02-19 23:26:49","7033973","558","pending","credit_card","partial"
"58","214","2025-04-23 23:01:05","5693132","716","pending","bank_mandiri","paid"
"59","986","2025-06-24 20:35:04","8816017","899","returned","debit_card","paid"
"60","716","2025-08-01 03:45:21","7114458","28","on_hold","bank_bni","refunded"
"61","199","2025-02-15 09:19:39","6167580","932","returned","debit_card","failed"
"62","338","2025-05-27 17:19:56","8522115","638","awaiting_payment","bank_bni","paid"
"63","409","2025-06-29 05:27:26","5452960","112","processing","debit_card","chargeback"
"64","676","2025-07-20 15:49:37","5136613","30","awaiting_payment","bank_mandiri","pending"
"65","505","2025-05-16 17:48:25","6322927","452","returned","debit_card","paid"
"66","377","2025-07-22 18:28:39","9252796","71","awaiting_payment","credit_card","overpaid"
"67","220","2025-03-13 23:51:40","3253232","555","refunded","transfer","failed"
"68","103","2025-02-20 04:45:59","2086812","669","pending","dana","pending"
"69","350","2025-06-09 14:09:36","1712445","647","pending","bank_mandiri","refunded"
"70","122","2025-05-17 21:30:48","4334876","684","delivered","bank_mandiri","partial"
"71","726","2025-04-23 23:26:32","6887351","451","awaiting_payment","bank_bni","paid"
"72","689","2025-06-17 12:42:49","6192917","768","awaiting_payment","transfer","partial"
"73","107","2025-07-21 00:06:17","8581737","748","cancelled","bank_bca","partial"
"74","243","2025-05-01 23:08:34","1178044","649","processing","transfer","pending"
"75","718","2025-02-25 03:38:01","4651865","722","awaiting_shipment","ovo","pending"
"76","137","2025-05-29 14:27:01","7535181","360","processing","ovo","paid"
"77","644","2025-05-24 10:25:48","4589102","799","cancelled","paypal","paid"
"78","645","2025-04-28 04:22:30","4151134","460","awaiting_payment","bank_bca","refunded"
"79","450","2025-08-09 15:25:18","8808420","612","refunded","ovo","partial"
"80","803","2025-03-31 23:01:03","4336746","490","awaiting_shipment","bank_bca","refunded"
"81","380","2025-04-11 16:17:43","7170008","267","awaiting_shipment","paypal","partial"
"82","269","2025-08-01 18:55:34","9195617","121","cancelled","bank_bca","chargeback"
"83","380","2025-08-09 05:00:19","7556939","842","on_hold","e-wallet","refunded"
"84","749","2025-05-17 12:17:52","5683681","472","pending","bank_bni","partial"
"85","779","2025-05-20 12:21:51","4342352","899","cancelled","transfer","partial"
"86","959","2025-05-03 05:35:24","7597605","223","awaiting_payment","dana","chargeback"
"87","387","2025-05-01 11:26:35","4472805","560","processing","debit_card","overpaid"
"88","696","2025-03-21 15:19:28","9142688","622","cancelled","gopay","paid"
"89","582","2025-03-22 05:04:55","8894926","142","awaiting_payment","dana","refunded"
"90","562","2025-08-06 08:27:31","6096260","245","awaiting_shipment","e-wallet","paid"
"91","560","2025-07-04 14:28:33","2681729","245","returned","credit_card","pending"
"92","538","2025-02-18 17:23:28","9658328","642","on_hold","cash","chargeback"
"93","626","2025-04-10 04:23:08","9640172","542","shipped","bank_mandiri","partial"
"94","902","2025-05-21 21:29:42","7722513","858","refunded","bank_bca","refunded"
"95","441","2025-08-01 18:57:07","9235838","451","delivered","cash","chargeback"
"96","89","2025-05-15 03:18:50","8078397","524","awaiting_payment","cash","pending"
"97","8","2025-05-02 05:44:55","3553861","47","returned","e-wallet","chargeback"
"98","678","2025-04-03 13:47:38","1410272","420","returned","transfer","failed"
"99","490","2025-02-14 18:37:59","5781431","284","processing","bank_bca","overpaid"
"100","401","2025-03-13 20:12:07","3300547","397","cancelled","debit_card","overpaid"
"101","860","2025-06-25 11:55:35","157806","982","returned","bank_bca","failed"
"102","636","2025-07-20 11:05:07","6882902","698","returned","bank_mandiri","refunded"
"103","335","2025-02-13 08:06:00","7417605","938","processing","debit_card","overpaid"
"104","702","2025-08-08 00:25:42","2437930","234","returned","dana","chargeback"
"105","576","2025-05-08 12:40:33","1472635","12","processing","cash","paid"
"106","707","2025-03-07 16:42:20","2475600","138","pending","dana","chargeback"
"107","525","2025-07-24 13:54:02","6179759","754","shipped","credit_card","partial"
"108","298","2025-03-16 09:30:10","3806920","83","awaiting_shipment","transfer","failed"
"109","615","2025-04-15 14:07:27","3086070","966","processing","cash","partial"
"110","646","2025-03-15 08:05:02","9285986","788","cancelled","bank_mandiri","refunded"
"111","786","2025-03-29 02:36:32","817642","673","awaiting_payment","transfer","paid"
"112","688","2025-05-23 21:25:45","2271996","482","processing","dana","pending"
"113","27","2025-05-08 09:30:15","8221861","425","cancelled","dana","overpaid"
"114","924","2025-04-29 15:57:17","4678993","280","returned","paypal","overpaid"
"115","296","2025-07-17 07:48:59","6294041","643","pending","bank_bni","failed"
"116","193","2025-07-02 14:31:53","1223759","219","delivered","bank_mandiri","refunded"
"117","583","2025-07-31 08:49:06","4553770","679","shipped","dana","paid"
"118","706","2025-03-19 23:26:36","1137672","735","awaiting_shipment","gopay","partial"
"119","10","2025-03-09 20:18:09","286989","392","processing","gopay","chargeback"
"120","753","2025-02-28 23:31:13","2885367","29","delivered","paypal","refunded"
"121","901","2025-04-27 08:37:33","5954903","971","on_hold","credit_card","refunded"
"122","768","2025-07-14 14:48:20","9694339","467","delivered","gopay","overpaid"
"123","642","2025-07-24 03:34:33","6193928","984","refunded","bank_mandiri","refunded"
"124","272","2025-06-01 18:52:37","9546901","445","processing","e-wallet","partial"
"125","576","2025-07-13 09:07:23","4458890","723","shipped","transfer","partial"
"126","541","2025-08-02 22:59:11","3332951","430","shipped","gopay","chargeback"
"127","612","2025-08-06 03:00:31","4019262","580","cancelled","credit_card","refunded"
"128","600","2025-04-28 03:07:46","1671273","691","shipped","bank_bca","overpaid"
"129","354","2025-04-12 03:22:33","2745054","552","returned","gopay","failed"
"130","975","2025-04-15 21:57:13","9316283","601","cancelled","debit_card","paid"
"131","38","2025-06-05 23:14:03","5349490","434","awaiting_shipment","bank_bni","paid"
"132","60","2025-05-25 10:14:49","2805071","170","on_hold","credit_card","partial"
"133","774","2025-06-11 17:28:07","5154957","523","on_hold","paypal","failed"
"134","733","2025-05-08 05:30:04","9098612","283","returned","dana","refunded"
"135","635","2025-07-20 01:09:04","8098605","848","returned","e-wallet","pending"
"136","914","2025-03-10 03:15:33","7691108","886","processing","gopay","paid"
"137","837","2025-04-24 07:08:55","1115388","532","cancelled","dana","partial"
"138","998","2025-08-09 15:11:38","287766","353","on_hold","bank_mandiri","chargeback"
"139","209","2025-04-09 08:21:44","1905557","482","on_hold","debit_card","paid"
"140","783","2025-03-29 11:50:29","2189587","543","awaiting_payment","cash","refunded"
"141","73","2025-05-30 16:12:42","4138104","750","delivered","dana","paid"
"142","248","2025-05-17 21:29:11","1206664","180","cancelled","dana","pending"
"143","864","2025-04-04 23:15:25","1515562","697","on_hold","dana","chargeback"
"144","611","2025-06-28 15:45:16","3508311","73","awaiting_shipment","debit_card","paid"
"145","494","2025-04-14 11:01:08","7427332","155","pending","dana","failed"
"146","800","2025-04-12 13:46:39","6852071","315","awaiting_payment","transfer","partial"
"147","272","2025-06-19 03:07:52","9930059","133","shipped","paypal","partial"
"148","551","2025-07-01 20:40:37","2110791","39","processing","ovo","chargeback"
"149","625","2025-08-04 22:05:52","6723732","941","refunded","transfer","pending"
"150","408","2025-03-13 14:41:16","2487768","539","processing","dana","refunded"
"151","501","2025-08-06 00:13:05","8155787","50","refunded","bank_mandiri","failed"
"152","820","2025-06-25 09:15:55","2669398","354","awaiting_payment","transfer","overpaid"
"153","936","2025-06-03 11:45:21","471557","175","awaiting_payment","ovo","partial"
"154","403","2025-03-20 02:13:46","9429660","904","returned","debit_card","partial"
"155","535","2025-04-25 16:59:56","4318335","1000","processing","bank_bni","paid"
"156","881","2025-04-11 04:02:37","1526608","492","refunded","dana","partial"
"157","726","2025-04-20 13:19:43","6301506","880","shipped","ovo","partial"
"158","651","2025-06-25 20:27:29","5993169","188","awaiting_shipment","bank_bni","overpaid"
"159","490","2025-07-19 18:07:10","5043625","160","on_hold","bank_bni","refunded"
"160","574","2025-05-02 19:06:50","4115732","231","delivered","debit_card","chargeback"
"161","369","2025-04-17 18:32:09","6631208","778","awaiting_shipment","dana","refunded"
"162","251","2025-04-13 23:25:46","1537395","231","cancelled","transfer","pending"
"163","654","2025-07-23 16:12:03","3410407","767","shipped","e-wallet","overpaid"
"164","387","2025-05-07 23:58:19","9374272","286","delivered","debit_card","pending"
"165","575","2025-07-19 13:42:54","7798846","751","on_hold","paypal","paid"
"166","237","2025-05-17 00:59:44","3534342","717","awaiting_payment","debit_card","partial"
"167","794","2025-05-09 02:19:26","2149441","573","shipped","credit_card","pending"
"168","818","2025-03-12 18:16:44","8431657","931","refunded","credit_card","refunded"
"169","663","2025-03-28 12:31:32","8217041","961","returned","transfer","pending"
"170","571","2025-04-06 21:04:13","7752491","229","pending","bank_mandiri","chargeback"
"171","788","2025-06-16 02:59:58","7624034","990","awaiting_shipment","bank_bca","chargeback"
"172","811","2025-05-29 02:43:32","7544739","572","pending","dana","overpaid"
"173","164","2025-06-05 03:41:56","8020347","231","pending","dana","partial"
