"id","name","category_id","price","stock"
"1","Flashdisk 15","1","3052372","43"
"2","Headset 667","1","4646410","99"
"3","Meja 849","4","3160434","52"
"4","Kamera 945","1","2742872","16"
"5","Sepatu 260","3","2561993","54"
"6","Flashdisk 464","1","3965382","25"
"7","Earphone 759","1","1722465","77"
"8","Tas 536","3","1840450","16"
"9","Printer 933","1","359424","91"
"10","Majalah 822","2","4009115","65"
"11","Powerbank 269","1","2591691","6"
"12","Pulpen 148","6","1877536","25"
"13","Komik 555","2","1349785","76"
"14","Sandal 927","3","3291681","29"
"15","Microwave 252","1","214190","57"
"16","Pulpen 390","6","4991139","3"
"17","Kaos 948","3","4253515","30"
"18","Komik 41","2","103075","18"
"19","Kulkas 448","1","3188012","48"
"20","Flashdisk 946","1","1572595","35"
"21","Printer 809","1","1432523","55"
"22","Kaos 661","3","3719366","32"
"23","Earphone 451","1","2796600","90"
"24","Topi 742","3","3398102","94"
"25","Komik 7","2","3438235","73"
"26","Tablet 876","1","1036651","41"
"27","Kaos 468","3","4538985","99"
"28","Kaos 64","3","437490","54"
"29","Jam Tangan 310","15","545591","44"
"30","Kaos 713","3","2477239","18"
"31","Jam Tangan 36","15","4406208","8"
"32","Keyboard 963","1","3737030","82"
"33","Kacamata 699","3","4926792","55"
"34","Kamera 758","1","2948942","60"
"35","Pulpen 239","6","1310351","52"
"36","Komik 12","2","2095408","77"
"37","Microwave 412","1","543623","70"
"38","Mouse 968","1","2037025","90"
"39","Topi 765","3","3574841","91"
"40","Kulkas 369","1","2378338","69"
"41","Headset 922","1","4762781","1"
"42","Microwave 176","1","1339080","8"
"43","Kaos 256","3","1660436","79"
"44","Microwave 605","1","4631000","55"
"45","Monitor 238","1","2643209","26"
"46","Microwave 656","1","4122251","75"
"47","Smartphone 187","1","4772119","9"
"48","Mouse 904","1","25600","8"
"49","Kaos 421","3","1555516","39"
"50","Meja 200","4","1535853","10"
"51","Topi 484","3","1798498","4"
"52","Mouse 328","1","2001092","6"
"53","Sepeda 375","5","2366789","26"
"54","Microwave 430","1","1430693","40"
"55","Earphone 181","1","1854081","88"
"56","Flashdisk 329","1","895424","45"
"57","Topi 220","3","2512707","35"
"58","Buku Tulis 734","2","205043","82"
"59","Microwave 34","1","1071946","12"
"60","Komik 192","2","2099133","4"
"61","Sandal 395","3","1777007","42"
"62","Jam Tangan 110","14","4974109","15"
"63","Powerbank 402","1","3369543","60"
"64","Sandal 746","3","4847979","45"
"65","Speaker 624","1","1531392","9"
"66","Majalah 69","2","3085503","24"
"67","Powerbank 307","1","3255973","47"
"68","Kaos 56","3","2243321","50"
"69","Mouse 1000","1","1983244","6"
"70","Tas 34","3","2011531","6"
"71","Sepeda 723","5","4777128","3"
"72","Helm 927","3","4666043","22"
"73","Smartphone 421","1","3286963","39"
"74","Flashdisk 503","1","4435550","0"
"75","Komik 229","2","1400961","93"
"76","Keyboard 904","1","2837796","14"
"77","Topi 167","3","3899633","79"
"78","Tas 815","3","612739","54"
"79","Earphone 570","1","2730630","50"
"80","Helm 517","3","658032","53"
"81","Speaker 159","1","35186","51"
"82","Printer 68","1","193165","81"
"83","Kacamata 885","3","2869593","9"
"84","Laptop 163","1","1827113","8"
"85","Tablet 437","1","4632940","95"
"86","Monitor 818","1","2261984","99"
"87","Lampu Meja 744","4","4701865","24"
"88","Kaos 902","3","1509943","56"
"89","Lampu Meja 906","4","482356","31"
"90","Headset 128","1","119246","37"
"91","Monitor 778","1","3528984","29"
"92","Smartphone 554","1","2128284","95"
"93","Earphone 615","1","675525","52"
"94","Tablet 588","1","1351860","26"
"95","Jam Tangan 408","8","2888549","53"
"96","Sandal 584","3","1800157","40"
"97","Lampu Meja 821","4","499847","88"
"98","Flashdisk 978","1","3858434","18"
"99","Kursi 569","4","1142787","30"
"100","Monitor 389","1","2767294","32"
"101","Powerbank 630","1","59070","68"
"102","Topi 101","3","4328824","82"
"103","Powerbank 547","1","4107167","14"
"104","Earphone 642","1","245852","19"
"105","Smartphone 570","1","4405391","28"
"106","Sepeda 338","5","774395","57"
"107","Majalah 652","2","369066","76"
"108","Majalah 247","2","4530283","33"
"109","Botol Minum 232","5","2645438","59"
"110","Kursi 290","4","4688375","48"
"111","Buku Tulis 720","2","74730","45"
"112","Kursi 724","4","2860850","100"
"113","Smartphone 703","1","525267","38"
"114","Flashdisk 82","1","3390466","49"
"115","Monitor 937","1","1711193","79"
"116","Keyboard 373","1","1526163","50"
"117","Kamera 385","1","191547","25"
"118","Tas 935","3","299082","96"
"119","Keyboard 132","1","239986","44"
"120","Kamera 173","1","2102096","34"
"121","Sepeda 625","5","43052","14"
"122","Kacamata 112","3","1016118","52"
"123","Buku Tulis 249","2","1201157","50"
"124","Monitor 206","1","1953411","63"
"125","Sepeda 537","5","926017","38"
"126","Tas 730","3","1839170","35"
"127","Jam Tangan 823","12","2221695","71"
"128","Monitor 710","1","3315674","84"
"129","Laptop 161","1","595604","17"
"130","Keyboard 695","1","586039","41"
"131","Microwave 632","1","3138671","56"
"132","Kulkas 634","1","3784023","100"
"133","Sepatu 506","3","1611302","80"
"134","Sandal 470","3","1729090","17"
"135","Kursi 172","4","370352","79"
"136","Printer 909","1","1118239","15"
"137","Sandal 305","3","886552","16"
"138","Mouse 753","1","66135","91"
"139","Jaket 459","3","3745402","60"
"140","Topi 122","3","3281165","22"
"141","Laptop 495","1","3673880","1"
"142","Sandal 941","3","1023314","26"
"143","Kulkas 911","1","881911","48"
"144","Speaker 69","1","1741207","61"
"145","Printer 703","1","1142426","83"
"146","Buku Tulis 456","2","163414","30"
"147","Topi 326","3","1785292","48"
"148","Lampu Meja 605","4","553978","97"
"149","Monitor 84","1","984312","7"
"150","Printer 251","1","2987271","15"
"151","Kamera 85","1","306881","50"
"152","Kulkas 380","1","827973","42"
"153","Sepeda 809","5","4945366","53"
"154","Helm 945","3","4999380","87"
"155","Smartphone 140","1","1590526","62"
"156","Earphone 37","1","1714195","82"
"157","Monitor 263","1","3722466","34"
"158","Helm 764","3","4626358","88"
"159","Kulkas 976","1","4171726","1"
"160","Keyboard 919","1","4684104","77"
"161","Laptop 471","1","2191235","40"
"162","Jam Tangan 918","13","1920761","4"
"163","Headset 763","1","4672191","74"
"164","Kulkas 866","1","1882132","69"
"165","Printer 489","1","3974868","61"
"166","Meja 583","4","634154","34"
"167","Topi 460","3","4282482","5"
"168","Sepeda 115","5","2354592","89"
"169","Buku Tulis 564","2","424608","44"
"170","Jam Tangan 997","8","1273569","75"
"171","Majalah 251","2","3622108","55"
"172","Headset 447","1","3630979","1"
"173","Botol Minum 855","8","4350194","65"
"174","Printer 182","1","4032958","3"
"175","Smartphone 582","1","3434791","84"
"176","Meja 674","4","4763635","76"
"177","Sepatu 857","3","2079924","58"
"178","Speaker 87","1","3638469","41"
"179","Sandal 524","3","3920854","82"
"180","Jaket 311","3","1605802","13"
