"id","name","city"
"1","PT Sukses Makmur","Kupang"
"2","CV Mitra Abadi","Banjarmasin"
"3","UD Sentosa","Mataram"
"4","PT Prima Jaya","Cirebon"
"5","CV Makmur Sejahtera","Kupang"
"6","PT Sejahtera Abadi","Denpasar"
"7","CV Mandiri Jaya","Jakarta"
"8","PT Sentosa Mandiri","Denpasar"
"9","PT Global Niaga","Kupang"
"10","CV Surya Gemilang","Manado"
"11","PT Multi Usaha","Samarinda"
"12","UD Sinar Terang","Surabaya"
"13","CV Indah Karya","Surabaya"
"14","PT Nusantara","Pekanbaru"
"15","CV Prima Lestari","Makassar"
