"id","order_id","shipment_date","status"
"1","1","2025-07-30 11:53:31","returned"
"2","2","2025-07-16 10:43:31","delivered"
"3","3","2025-07-30 01:13:08","in_transit"
"4","4","2025-08-08 22:22:25","delivered"
"5","5","2025-07-19 02:33:39","out_for_delivery"
"6","6","2025-08-04 16:03:06","out_for_delivery"
"7","7","2025-07-28 05:59:08","pending"
"8","8","2025-07-16 04:18:32","shipped"
"9","9","2025-07-23 05:10:00","delivered"
"10","10","2025-08-01 06:39:19","returned"
"11","11","2025-07-23 21:01:19","returned"
"12","12","2025-07-25 10:16:19","out_for_delivery"
"13","13","2025-07-22 12:40:49","pending"
"14","14","2025-07-14 01:40:25","out_for_delivery"
"15","15","2025-07-18 07:24:16","shipped"
"16","16","2025-07-19 01:39:48","returned"
"17","17","2025-07-17 09:54:19","pending"
"18","18","2025-07-27 16:46:09","out_for_delivery"
"19","19","2025-08-03 12:00:41","out_for_delivery"
"20","20","2025-08-02 12:43:33","delivered"
"21","21","2025-07-26 20:54:38","pending"
"22","22","2025-07-30 11:16:05","delayed"
"23","23","2025-08-07 21:19:30","in_transit"
"24","24","2025-07-15 10:35:15","shipped"
"25","25","2025-08-02 03:36:47","in_transit"
"26","26","2025-07-21 13:19:13","pending"
"27","27","2025-07-17 06:11:26","out_for_delivery"
"28","28","2025-07-28 16:07:47","delivered"
"29","29","2025-07-26 17:43:44","in_transit"
"30","30","2025-07-18 00:08:08","delayed"
"31","31","2025-07-21 04:20:05","delayed"
"32","32","2025-07-22 17:16:12","returned"
"33","33","2025-07-16 00:06:26","out_for_delivery"
"34","34","2025-07-11 20:17:38","pending"
"35","35","2025-07-29 08:30:02","pending"
"36","36","2025-08-03 22:44:07","delivered"
"37","37","2025-08-01 09:12:01","delayed"
"38","38","2025-08-07 14:45:32","in_transit"
"39","39","2025-07-22 12:39:42","delayed"
"40","40","2025-08-02 04:42:31","returned"
"41","41","2025-07-28 01:32:31","delayed"
"42","42","2025-07-23 12:28:34","delayed"
"43","43","2025-07-29 03:34:31","out_for_delivery"
"44","44","2025-08-03 17:16:24","delayed"
"45","45","2025-08-06 12:18:04","out_for_delivery"
"46","46","2025-07-25 01:12:13","out_for_delivery"
"47","47","2025-07-21 20:12:29","shipped"
"48","48","2025-07-12 18:21:01","pending"
"49","49","2025-07-29 04:36:12","in_transit"
"50","50","2025-08-08 08:21:43","delivered"
"51","51","2025-08-03 10:22:16","out_for_delivery"
"52","52","2025-08-07 13:59:40","returned"
"53","53","2025-07-14 12:13:35","delivered"
"54","54","2025-07-24 00:03:17","shipped"
"55","55","2025-07-18 16:46:57","delayed"
"56","56","2025-07-18 00:08:28","delivered"
"57","57","2025-07-29 06:08:38","in_transit"
"58","58","2025-07-23 04:13:30","shipped"
"59","59","2025-07-14 05:37:22","out_for_delivery"
"60","60","2025-07-29 04:51:06","pending"
"61","61","2025-07-20 21:21:12","shipped"
"62","62","2025-07-17 07:22:06","delivered"
"63","63","2025-07-18 20:56:42","out_for_delivery"
"64","64","2025-08-03 00:29:34","returned"
"65","65","2025-07-23 08:49:30","delayed"
"66","66","2025-07-30 15:16:25","in_transit"
"67","67","2025-07-23 01:20:34","returned"
"68","68","2025-07-18 04:47:49","out_for_delivery"
"69","69","2025-07-18 13:32:20","out_for_delivery"
"70","70","2025-07-18 14:04:04","returned"
"71","71","2025-07-25 15:54:45","returned"
"72","72","2025-07-19 23:43:58","delayed"
"73","73","2025-08-03 10:47:54","delayed"
"74","74","2025-07-26 10:59:03","pending"
"75","75","2025-08-05 10:46:41","delivered"
"76","76","2025-08-06 11:13:13","out_for_delivery"
"77","77","2025-08-07 15:15:10","shipped"
"78","78","2025-07-30 22:12:23","returned"
"79","79","2025-08-10 06:09:59","in_transit"
"80","80","2025-07-18 16:01:38","pending"
"81","81","2025-07-26 05:47:07","in_transit"
"82","82","2025-08-05 09:12:59","delayed"
"83","83","2025-07-19 19:03:53","pending"
"84","84","2025-07-15 15:52:23","delayed"
"85","85","2025-07-17 00:25:13","returned"
"86","86","2025-07-28 00:21:36","delivered"
"87","87","2025-08-04 03:55:14","shipped"
"88","88","2025-08-01 04:13:22","delivered"
"89","89","2025-08-04 13:33:16","delayed"
"90","90","2025-07-13 01:29:31","returned"
"91","91","2025-07-13 03:52:45","out_for_delivery"
"92","92","2025-07-20 23:57:46","shipped"
"93","93","2025-07-22 16:50:43","returned"
"94","94","2025-07-15 04:30:02","delayed"
"95","95","2025-07-23 11:05:56","shipped"
"96","96","2025-07-12 05:10:51","returned"
"97","97","2025-07-26 06:08:10","out_for_delivery"
"98","98","2025-08-08 21:07:19","shipped"
"99","99","2025-07-22 07:30:43","in_transit"
"100","100","2025-07-13 14:18:06","out_for_delivery"
"101","101","2025-07-23 06:17:31","returned"
"102","102","2025-07-13 05:12:07","out_for_delivery"
"103","103","2025-07-19 17:43:41","delivered"
"104","104","2025-08-07 00:07:49","shipped"
"105","105","2025-07-16 03:28:30","returned"
